nta_name,nta_code,borough,in_labor_force,civilian_labor_force,employed,unemployed,armed_forces,not_in_labor_force,workers_16+,vehicle,carpool,public_transit,walking,other_commuting_means,work_at_home,mean_commuting_time_(min),occ_civilian_employed_16+,mng_biz_sci_arts,service,sales_office,natres_construct_maint,prod_transport_moving,class_civilian_employed_16+,salary_workers,govt_workers,self-employed,unpaid_family_workers,total_households,hincome_10K_under,hincome_10K_15K,hincome_15K_25K,hincome_25K_35K,hincome_35K_50K,hincome_50K_75K,hincome_75K_100K,hincome_100K_150K,hincome_150K_200K,hincome_200K_more,median_hincome,mean_hincome,median_earnings,median_earnings_male,median_earnings_female,all_families,all_families_below_poverty,pop_poverty_status_determ,pop_below_poverty
Astoria,QN70,Queens,48267,48267,45199,3068,0,17921,43461,5040,896,32218,3009,966,1332,39.4,45199,22481,8865,8462,2170,3221,45199,37707,4450,2999,43,33509,2148,1473,3248,2405,3626,5696,4433,5892,2785,1803,67047.0,83094.0,45601.0,57151.0,55721.0,15438,1477,74639,9281
Auburndale,QN48,Queens,10445,10445,9948,497,0,6929,9708,4624,1107,3508,193,86,190,44.7,9948,3942,1861,2361,902,882,9948,8123,1381,406,38,7006,397,173,478,366,781,1339,864,1379,639,590,74404.0,92197.0,39292.0,53589.0,51843.0,5288,422,20566,1532
Baisley Park,QN76,Queens,20974,20963,19214,1749,11,10510,18440,7588,931,8535,612,503,271,49.6,19214,5074,5118,4557,1969,2496,19214,14555,3888,753,18,11276,504,479,770,721,1536,2124,1752,2061,820,509,69098.0,84877.0,33762.0,43202.0,39487.0,8718,828,38990,4793
Bayside-Bayside Hills,QN46,Queens,22517,22505,21630,875,12,14049,21023,10238,2203,7167,775,107,533,43.3,21630,10059,3566,5088,1549,1368,21630,17291,3345,966,28,15475,537,408,1001,1031,1389,2401,2186,3223,1540,1759,86098.0,104934.0,47775.0,63788.0,57416.0,11070,806,42745,3555
Bellerose,QN43,Queens,13781,13781,13120,661,0,8424,12917,7626,1134,3448,248,87,374,43.6,13120,5380,2133,2870,851,1886,13120,10014,2488,607,11,8221,353,334,372,366,809,1281,1153,1772,1045,736,87910.0,103468.0,45251.0,58375.0,54619.0,6367,431,27103,2399
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,QN10,Queens,13117,13111,12408,703,6,9738,12206,7281,751,2917,610,206,441,47.1,12408,5920,1967,2511,1123,887,12408,8221,3788,399,0,10870,573,426,641,695,945,1663,1460,1743,1307,1417,83423.0,112818.0,57480.0,77635.0,69195.0,6524,370,26820,2346
Briarwood-Jamaica Hills,QN35,Queens,24099,24099,22027,2072,0,11658,21612,6101,790,12359,1399,387,576,45.4,22027,7753,4647,5509,1577,2541,22027,17413,2748,1852,14,14326,857,462,1289,1335,1457,2659,1907,2455,975,930,66609.0,84052.0,35241.0,48388.0,49775.0,9613,1168,42566,6734
Cambria Heights,QN33,Queens,11688,11675,10935,740,13,6328,10656,5379,716,4149,74,64,274,48.9,10935,3777,2760,2498,662,1238,10935,7862,2740,333,0,6336,260,129,225,363,455,954,926,1476,839,709,96110.0,112055.0,42469.0,52808.0,53335.0,4969,115,21148,810
College Point,QN23,Queens,11793,11785,11292,493,8,8104,10967,4944,1483,3581,636,119,204,40.4,11292,2718,2938,2902,1205,1529,11292,9557,1267,452,16,7737,414,214,811,884,978,1492,926,1230,471,317,58810.0,75602.0,33737.0,41903.0,40844.0,5759,555,24115,3085
Corona,QN25,Queens,28924,28924,27575,1349,0,15783,26411,5022,1279,16048,2796,707,559,45.2,27575,3749,10351,5210,3842,4423,27575,22383,2585,2599,8,16451,1185,812,1700,2021,2832,2932,2300,1886,537,246,48015.0,61173.0,25512.0,33541.0,32912.0,12743,2346,57796,11899
Douglas Manor-Douglaston-Little Neck,QN45,Queens,12901,12901,12345,556,0,8830,11828,6547,992,3323,310,197,459,43.1,12345,6358,1551,2969,695,772,12345,9578,1905,785,77,9812,341,140,508,798,775,1639,1158,2229,1086,1138,90219.0,112436.0,54194.0,74797.0,65744.0,6961,370,25467,1499
East Elmhurst,QN27,Queens,9442,9442,8807,635,0,6230,8069,2008,721,4542,433,237,128,44.3,8807,1786,2783,1665,1134,1439,8807,7265,908,634,0,5541,426,215,592,607,864,870,721,816,236,194,52230.0,67905.0,27967.0,36824.0,33864.0,3794,547,19228,3415
East Flushing,QN52,Queens,12272,12266,11754,512,6,9832,11431,3723,1690,4693,835,150,340,41.6,11754,3329,3379,2454,962,1630,11754,9828,1244,671,11,8275,525,568,984,829,1368,1052,866,1259,469,355,48313.0,70263.0,28529.0,38452.0,39637.0,6311,912,25626,4308
Elmhurst,QN29,Queens,44153,44153,42022,2131,0,22792,39814,5485,1693,28250,2997,690,699,42.7,42022,9449,15016,7907,3841,5809,42022,34840,3092,4009,81,26304,1937,971,3325,3051,3888,5395,2851,2980,1102,804,49910.0,65330.0,27953.0,36306.0,32562.0,18035,2196,81203,12537
Elmhurst-Maspeth,QN50,Queens,13178,13178,12716,462,0,7140,12301,2860,817,7607,505,187,325,40.5,12716,3500,3417,2679,899,2221,12716,10838,1097,775,6,7795,169,416,798,647,1098,1676,1013,1092,555,331,61374.0,77369.0,32200.0,38764.0,38427.0,5327,591,24172,3125
Far Rockaway-Bayswater,QN15,Queens,24512,24481,22450,2031,31,16360,21811,9207,1524,8212,1584,576,708,49.8,22450,7850,6706,4311,1411,2172,22450,17755,3167,1528,0,17288,1937,1370,1540,1568,2195,3196,1732,2002,988,760,50213.0,67475.0,32964.0,46366.0,40444.0,11736,2038,54523,10810
Flushing,QN22,Queens,33922,33885,32621,1264,37,26276,31657,5766,5206,14034,5945,167,539,39.3,32621,7971,11295,7544,2226,3585,32621,28987,2609,1025,0,26308,3290,2069,3566,3541,3710,3887,2223,2245,1041,736,37513.0,56347.0,26321.0,36017.0,34839.0,17752,3870,69152,16949
Forest Hills,QN17,Queens,47795,47777,45629,2148,18,25815,44614,9840,2108,27618,2441,497,2110,43.8,45629,26432,6360,9011,1391,2435,45629,36831,6148,2559,91,39815,2398,1783,3073,2495,3110,6370,5235,7031,3925,4395,78239.0,104553.0,58410.0,75363.0,65080.0,21967,1459,87804,8531
Fresh Meadows-Utopia,QN41,Queens,9738,9738,9041,697,0,5837,8752,3923,894,3363,147,42,383,46.1,9041,3916,1512,2646,247,720,9041,7058,1453,530,0,6653,398,183,398,550,651,1123,819,1150,817,564,75716.0,94530.0,43193.0,58426.0,59432.0,4903,499,18696,2044
Ft. Totten-Bay Terrace-Clearview,QN47,Queens,10873,10873,10385,488,0,8220,10123,6063,751,2753,135,88,333,43.0,10385,5376,1188,2438,780,603,10385,7865,1850,636,34,10160,526,394,659,556,823,1624,1635,1643,1331,969,82613.0,101093.0,59706.0,75540.0,69257.0,6305,388,22684,1651
Glen Oaks-Floral Park-New Hyde Park,QN44,Queens,11602,11602,11062,540,0,9385,10702,6948,1018,1918,441,36,341,37.6,11062,4889,1401,2971,500,1301,11062,8281,2126,642,13,9023,210,336,447,801,712,1422,1351,1942,958,844,85796.0,103468.0,48883.0,65434.0,58895.0,5634,199,23287,1534
Glendale,QN19,Queens,18612,18586,17750,836,26,10052,17452,7308,1034,7568,946,276,320,40.6,17750,5566,4316,3934,1755,2179,17750,13970,3016,753,11,11985,517,414,719,754,1110,2104,2119,2451,999,798,79417.0,91661.0,42710.0,53127.0,45668.0,8836,549,35544,3013
Hammels-Arverne-Edgemere,QN12,Queens,18138,18089,16009,2080,49,12932,15784,6521,721,7538,403,381,220,55.8,16009,4844,4962,2831,1491,1881,16009,12166,3164,669,10,13922,1609,1058,1917,1377,1928,2026,1250,1468,757,532,42461.0,63787.0,34092.0,49917.0,42992.0,9743,2107,40084,9742
Hollis,QN07,Queens,12104,12104,11208,896,0,5330,11038,4862,289,5241,249,122,275,49.3,11208,3163,3216,2426,1023,1380,11208,8893,1731,542,42,6298,303,239,543,393,567,1138,906,1031,706,472,74215.0,88956.0,35593.0,49478.0,44132.0,4784,398,20895,2273
Hunters Point-Sunnyside-West Maspeth,QN31,Queens,43994,43994,42079,1915,0,15295,41171,5895,1111,30067,1857,877,1364,36.2,42079,19992,8159,7511,2152,4265,42079,34389,3892,3781,17,29512,1206,902,1941,2348,3245,5143,3612,5084,2416,3615,74845.0,104067.0,44845.0,54157.0,55735.0,15061,1012,68795,7251
Jackson Heights,QN28,Queens,52924,52924,50182,2742,0,29299,48189,10344,2842,29515,3700,701,1087,41.2,50182,14270,14711,10009,3947,7245,50182,40099,5323,4745,15,35555,1854,1555,3403,3989,5045,6849,4358,4555,2217,1730,57014.0,75438.0,34039.0,42274.0,41426.0,22674,2429,97973,12384
Jamaica,QN61,Queens,27137,27137,24787,2350,0,15424,24374,5935,978,14798,1841,431,391,48.5,24787,5186,7465,5131,2648,4357,24787,19886,2417,2475,9,15947,1072,1012,1788,1677,2638,3061,1849,1742,711,397,48696.0,63445.0,28206.0,37940.0,36418.0,11948,1741,53246,9396
Jamaica Estates-Holliswood,QN06,Queens,14360,14360,13364,996,0,8001,13085,5723,559,5617,492,69,625,43.3,13364,5414,2390,3573,735,1252,13364,10251,2373,740,0,9338,240,279,834,661,1240,1742,1178,1411,753,1000,70567.0,97199.0,40030.0,52147.0,53992.0,5924,229,25687,1564
Kew Gardens,QN60,Queens,12720,12720,12242,478,0,6330,11620,3373,468,6153,564,438,624,43.0,12242,5909,1829,2568,591,1345,12242,9505,1674,1027,36,9930,613,434,852,759,866,1976,1436,1469,787,738,68955.0,89377.0,47879.0,63908.0,55970.0,5182,568,23119,2691
Kew Gardens Hills,QN37,Queens,18190,18150,16999,1151,40,11291,16227,6591,1027,6722,1210,159,518,41.8,16999,7827,3198,3795,740,1439,16999,13347,2551,1099,2,13019,581,573,1338,1093,1330,2216,1933,2155,1097,703,66310.0,84294.0,37379.0,52844.0,53362.0,9185,880,36344,4283
Laurelton,QN66,Queens,14285,14276,13410,866,9,7638,12865,6661,684,4905,197,195,223,50.6,13410,4383,3588,2872,1002,1565,13410,9442,3581,379,8,8132,304,156,424,492,709,1189,1256,1772,1066,764,90763.0,104916.0,42649.0,53569.0,52396.0,6179,296,26427,1844
Lindenwood-Howard Beach,QN57,Queens,14031,13987,13174,813,44,10152,12835,7742,1011,3574,323,102,83,41.3,13174,4784,2078,3719,1066,1527,13174,9991,2666,488,29,10680,704,465,704,720,1421,1560,1254,1773,1202,877,70611.0,100462.0,45371.0,63830.0,54925.0,7776,863,29015,3370
Maspeth,QN30,Queens,16430,16430,15509,921,0,9272,15178,5666,1059,7105,737,234,377,42.8,15509,5011,3262,3408,2142,1686,15509,12519,2141,814,35,10768,432,431,908,832,1071,1821,1530,2076,949,718,73494.0,93741.0,41232.0,57135.0,48691.0,7433,551,31885,2969
Middle Village,QN21,Queens,21163,21144,20135,1009,19,12050,19656,8101,1218,8456,1253,166,462,43.4,20135,8177,3735,4744,1683,1796,20135,15493,3775,853,14,14814,796,417,1010,1106,1527,2371,1805,2911,1734,1137,77492.0,96352.0,46391.0,61523.0,52503.0,10210,557,39985,3228
Murray Hill,QN51,Queens,24047,24036,23024,1012,11,18765,22368,7197,2658,9295,2676,267,275,40.2,23024,7294,6179,5337,1763,2451,23024,19468,2411,1133,12,17425,1428,802,2364,1786,1856,2980,1981,2293,928,1007,53757.0,73597.0,31197.0,41450.0,37408.0,12207,1520,49484,7523
North Corona,QN26,Queens,28382,28382,26959,1423,0,11696,26191,3379,1402,18446,2311,366,287,45.6,26959,2641,10432,3697,5794,4395,26959,22542,1288,3115,14,12045,480,532,1280,1250,1842,2426,1793,1644,479,319,55236.0,68097.0,23333.0,30718.0,27049.0,9743,1684,53357,10533
Oakland Gardens,QN42,Queens,15555,15555,14801,754,0,9118,14510,7342,1530,4777,265,120,476,46.8,14801,6385,2181,3920,1075,1240,14801,11438,2647,716,0,11348,571,243,709,927,1088,2081,1186,2452,1174,917,76158.0,100540.0,47726.0,61161.0,58829.0,7941,562,30245,2741
Old Astoria,QN71,Queens,14535,14535,13624,911,0,6879,12886,1921,314,9045,794,413,399,40.0,13624,6365,3026,2566,670,997,13624,11312,1281,970,61,10636,653,559,1103,1010,1298,1590,1260,1599,738,826,61029.0,85973.0,44848.0,54383.0,57325.0,5260,865,24449,4562
Ozone Park,QN56,Queens,12333,12330,11445,885,3,7284,11098,4256,828,5179,435,175,225,45.8,11445,3381,2580,2824,1106,1554,11445,9012,1777,646,10,6996,335,201,646,466,649,1145,1013,1335,711,495,76381.0,90427.0,36903.0,54684.0,48804.0,5803,673,24451,3489
park-cemetery-etc-Queens,QN99,Queens,80,80,80,0,0,74,76,27,0,28,4,0,17,23.8,80,33,9,25,0,13,80,67,9,4,0,41,0,0,10,4,8,3,4,4,4,4,48123.0,70110.0,25555.0,39999.0,100000.0,38,10,159,70
Pomonok-Flushing Heights-Hillcrest,QN38,Queens,18228,18228,16221,2007,0,11667,15706,6459,1417,6160,988,128,554,43.8,16221,5258,3719,4425,1456,1363,16221,13041,2304,859,17,12175,1103,623,1139,1354,1640,1877,1337,1538,825,739,53626.0,77575.0,28970.0,54219.0,44562.0,8781,1308,34694,6198
Queens Village,QN34,Queens,30068,30068,27144,2924,0,15173,26629,12313,1842,11073,553,391,457,49.0,27144,8174,6652,6330,2408,3580,27144,20761,5247,1132,4,15428,650,549,1072,1331,1582,2266,2258,3022,1624,1074,77922.0,90916.0,35084.0,45019.0,44185.0,12658,978,53977,4515
Queensboro Hill,QN62,Queens,9752,9752,9233,519,0,6850,9063,3295,1343,3739,286,277,123,45.4,9233,2497,2804,1975,746,1211,9233,7849,1004,363,17,5870,368,265,648,685,653,1019,599,918,302,413,56527.0,76677.0,29053.0,40277.0,44845.0,4724,681,20226,3126
Queensbridge-Ravenswood-Long Island City,QN68,Queens,9462,9462,8303,1159,0,6035,7902,847,156,5541,770,212,376,40.6,8303,2466,2481,1889,453,1014,8303,7130,653,512,8,7891,1033,1142,1243,792,981,992,635,573,253,247,31284.0,53740.0,29877.0,48406.0,39404.0,4361,1239,19208,5862
Rego Park,QN18,Queens,14687,14677,14064,613,10,9116,13567,3139,659,8082,875,190,622,43.9,14064,6905,2257,3150,593,1159,14064,11525,1656,856,27,12302,1013,529,1269,896,1362,1885,1591,1975,1012,770,63494.0,82629.0,47831.0,61713.0,61166.0,6913,706,27694,3788
Richmond Hill,QN54,Queens,33942,33927,31543,2384,15,18410,30606,9257,2320,15822,1989,427,791,45.7,31543,7190,8194,6631,4377,5151,31543,25284,3527,2673,59,17333,857,548,1367,1626,2103,3459,2335,2748,1319,971,66302.0,82325.0,30321.0,42297.0,39113.0,14242,1713,64668,9835
Ridgewood,QN20,Queens,41346,41336,39213,2123,10,18593,38690,7397,1463,25335,3006,533,956,42.4,39213,10803,10702,7853,4856,4999,39213,32415,4078,2711,9,24322,1489,878,1826,1998,2993,4097,3711,4676,1583,1071,67804.0,81047.0,37900.0,45079.0,41641.0,16986,1935,75206,9715
Rosedale,QN05,Queens,14388,14363,13545,818,25,7099,13279,7249,926,4420,307,203,174,52.1,13545,4727,3358,3080,903,1477,13545,10130,3091,324,0,7629,256,317,375,392,590,1122,1276,1836,866,599,89938.0,100691.0,41103.0,52256.0,50745.0,6061,327,26053,1999
South Jamaica,QN01,Queens,22078,22073,18779,3294,5,12422,18296,7029,1018,9126,736,144,243,48.8,18779,4133,5930,4667,1307,2742,18779,13975,3635,1155,14,12277,832,792,1284,1029,1576,2250,1647,1661,752,454,56179.0,73910.0,30265.0,41226.0,40254.0,9179,1143,43096,6907
South Ozone Park,QN55,Queens,43755,43737,40114,3623,18,24339,39486,16029,2844,17761,1215,851,786,47.9,40114,10000,9743,10365,4407,5599,40114,31607,5770,2694,43,21765,989,691,1690,1717,2620,3678,2936,3841,1861,1742,71205.0,90789.0,32416.0,44420.0,40963.0,18554,1949,82667,10081
Springfield Gardens North,QN02,Queens,13976,13966,13257,709,10,8462,12795,5864,485,5343,465,250,388,49.7,13257,4369,3542,3004,610,1732,13257,8806,4032,419,0,10635,638,358,979,794,1384,2480,1298,2051,387,266,60039.0,71380.0,41431.0,53967.0,49121.0,6247,249,27326,2130
Springfield Gardens South-Brookville,QN03,Queens,11161,11144,10307,837,17,5894,9790,4772,608,3912,212,70,216,47.9,10307,2814,2934,2673,695,1191,10307,7549,2201,557,0,5962,182,163,281,369,697,915,1240,1077,754,284,82539.0,92616.0,36841.0,49548.0,46544.0,4891,345,21556,2477
St. Albans,QN08,Queens,28577,28518,26263,2255,59,14409,25461,12137,1183,10696,600,400,445,48.6,26263,8035,7771,6035,1687,2735,26263,19058,6355,832,18,15701,628,646,899,1206,1543,2705,2276,3205,1487,1106,77454.0,93423.0,39469.0,50791.0,46456.0,11913,820,52509,4316
Steinway,QN72,Queens,29530,29483,28143,1340,47,12467,26865,5246,1368,16936,1691,392,1232,40.8,28143,13737,4216,6264,1643,2283,28143,23198,2990,1930,25,19543,783,607,1400,1645,1951,3467,2663,3870,1677,1480,74387.0,96276.0,45980.0,58015.0,55890.0,10514,685,48174,4742
Whitestone,QN49,Queens,15715,15676,14834,842,39,10450,14458,8497,1716,3505,248,73,419,40.6,14834,6265,2293,4147,1121,1008,14834,12097,2198,484,55,11176,329,361,791,734,1042,1546,1653,2346,1200,1174,86871.0,106229.0,43608.0,70534.0,55484.0,8559,438,31782,1831
Woodhaven,QN53,Queens,31244,31230,29009,2221,14,17285,28126,7887,1421,16368,1252,349,849,48.7,29009,7422,7985,6626,2759,4217,29009,23674,3797,1515,23,16846,793,446,1379,1375,2001,2769,2660,3243,1314,866,71580.0,85858.0,32483.0,43878.0,41348.0,13539,1374,60378,7381
Woodside,QN63,Queens,23599,23599,22594,1005,0,13497,22253,3910,1097,15337,1153,331,425,38.2,22594,6830,5575,4361,1635,4193,22594,18606,1990,1974,24,15807,604,694,1146,1857,2485,3349,2089,1972,1010,601,58729.0,74166.0,34455.0,40977.0,40167.0,9806,751,43552,4499
