nta_name,nta_code,borough,in_labor_force,civilian_labor_force,employed,unemployed,armed_forces,not_in_labor_force,workers_16+,vehicle,carpool,public_transit,walking,other_commuting_means,work_at_home,mean_commuting_time_(min),occ_civilian_employed_16+,mng_biz_sci_arts,service,sales_office,natres_construct_maint,prod_transport_moving,class_civilian_employed_16+,salary_workers,govt_workers,self-employed,unpaid_family_workers,total_households,hincome_10K_under,hincome_10K_15K,hincome_15K_25K,hincome_25K_35K,hincome_35K_50K,hincome_50K_75K,hincome_75K_100K,hincome_100K_150K,hincome_150K_200K,hincome_200K_more,median_hincome,mean_hincome,median_earnings,median_earnings_male,median_earnings_female,all_families,all_families_below_poverty,pop_poverty_status_determ,pop_below_poverty
Homecrest,BK25,Brooklyn,20210,20203,18929,1274,7,13584,18556,4612,1393,9109,1882,462,1098,43.3,18929,7019,3795,5116,886,2113,18929,15315,2210,1371,33,15707,957,1218,1670,1624,1773,2350,1694,2353,952,1116,56602.0,83996.0,36934.0,53200.0,45019.0,11043,1638,44919,8360
Kensington-Ocean Parkway,BK41,Brooklyn,16914,16914,15781,1133,0,9855,15302,2992,532,9660,1070,591,457,43.3,15781,6985,3116,2844,1068,1768,15781,12224,1827,1691,39,12086,492,917,1294,977,1644,2070,1467,1861,719,645,57167.0,76511.0,35319.0,48966.0,53672.0,7764,1183,35232,7424
Madison,BK44,Brooklyn,19676,19676,18706,970,0,13296,18334,5432,1058,9345,1370,284,845,47.0,18706,7798,3872,4120,1210,1706,18706,15261,2440,977,28,14902,941,826,1349,1081,1703,2228,1784,2508,1037,1445,67253.0,90492.0,41505.0,57188.0,52853.0,10433,1043,40874,5330
Midwood,BK43,Brooklyn,23902,23877,22327,1550,25,16863,21760,6460,1343,10141,2427,465,924,39.7,22327,10052,4120,4721,1229,2205,22327,18200,2417,1667,43,18684,1327,1808,1865,1635,2030,2968,1866,2389,1239,1557,55645.0,87150.0,33234.0,55560.0,46666.0,12521,2009,54332,11523
North Side-South Side,BK73,Brooklyn,36010,35992,34305,1687,18,11640,33539,2787,542,23434,3045,1425,2306,33.7,34305,21125,4307,6621,839,1413,34305,28656,2506,3047,96,24582,1827,1207,1476,1547,2123,2651,2716,3918,2496,4621,88437.0,126056.0,55583.0,83061.0,67093.0,11698,1611,56970,9752
Ocean Hill,BK79,Brooklyn,15920,15920,14931,989,0,11575,14782,2321,262,10889,663,194,453,45.3,14931,4285,4744,3008,1073,1821,14931,11249,2791,868,23,13468,2204,862,1654,1382,2170,2000,1181,1140,532,343,38618.0,55202.0,35175.0,43488.0,41007.0,8170,1878,35491,9521
Ocean Parkway South,BK46,Brooklyn,8459,8459,8026,433,0,6238,7743,2573,762,2717,1145,230,316,34.3,8026,3678,1388,2121,374,465,8026,6317,987,682,40,6752,508,510,712,705,680,1057,609,843,299,829,55672.0,96193.0,34179.0,59426.0,51902.0,4616,734,20643,4143
Park Slope-Gowanus,BK37,Brooklyn,46373,46362,44414,1948,11,14231,43729,3555,712,30088,3639,1565,4170,39.3,44414,34071,3013,5348,706,1276,44414,34569,5169,4666,10,30941,1207,570,964,1024,1745,2841,3702,5951,4324,8613,128075.0,176550.0,70833.0,100000.0,81109.0,17289,640,74345,5372
park-cemetery-etc-Brooklyn,BK99,Brooklyn,363,363,328,35,0,14,328,98,9,143,12,20,46,29.7,328,153,78,67,8,22,328,262,37,29,0,205,0,0,23,14,9,5,19,57,37,41,118464.0,136198.0,74332.0,94827.0,94166.0,111,0,432,22
Prospect Heights,BK64,Brooklyn,13670,13670,12938,732,0,4294,12664,794,129,9157,811,720,1053,38.3,12938,9127,1638,1563,302,308,12938,9908,1646,1349,35,9449,642,322,424,378,775,916,1158,1557,1190,2087,103277.0,141251.0,64443.0,89206.0,73322.0,4615,368,21210,2328
